27/01/2025;005;A;AFN;0,07817000;0,07838000;75,62000000;75,82000000
27/01/2025;009;A;ETB;0,04545000;0,04726000;125,41190000;130,41190000
27/01/2025;015;A;THB;0,17570000;0,17600000;33,67000000;33,73000000
27/01/2025;020;A;PAB;5,92660000;5,92720000;1,00000000;1,00000000
27/01/2025;027;A;VES;0,10460000;0,10490000;56,51060000;56,65220000
27/01/2025;030;A;BOB;0,84670000;0,86530000;6,85000000;7,00000000
27/01/2025;035;A;GHS;0,38810000;0,39070000;15,17000000;15,27000000
27/01/2025;040;A;CRC;0,01162000;0,01176000;503,83000000;509,98000000
27/01/2025;045;A;SVC;0,67660000;0,67740000;8,74950000;8,75950000
27/01/2025;051;A;NIO;0,16020000;0,16190000;36,60000000;37,00000000
27/01/2025;055;A;DKK;0,83370000;0,83400000;7,10670000;7,10860000
27/01/2025;060;A;ISK;0,04248000;0,04258000;139,19000000;139,50000000
27/01/2025;065;A;NOK;0,52740000;0,52750000;11,23560000;11,23780000
27/01/2025;070;A;SEK;0,54190000;0,54200000;10,93590000;10,93740000
27/01/2025;075;A;CZK;0,24800000;0,24810000;23,88900000;23,89500000
27/01/2025;090;A;GMD;0,08119000;0,08232000;72,00000000;73,00000000
27/01/2025;095;A;DZD;0,04392000;0,04410000;134,39060000;134,94420000
27/01/2025;100;A;KWD;19,21730000;19,25670000;0,30780000;0,30840000
27/01/2025;105;A;BHD;15,71630000;15,72620000;0,37690000;0,37710000
27/01/2025;115;A;IQD;0,00452100;0,00452800;1309,00000000;1311,00000000
27/01/2025;125;A;JOD;8,34730000;8,35170000;0,70970000;0,71000000
27/01/2025;130;A;LYD;1,20530000;1,21090000;4,89480000;4,91710000
27/01/2025;132;A;MKD;0,10080000;0,10170000;58,26000000;58,78000000
27/01/2025;133;A;RSD;0,05308000;0,05318000;111,45000000;111,66000000
27/01/2025;134;A;SDG;0,00984300;0,00989900;598,80020000;602,14120000
27/01/2025;135;A;TND;1,86970000;1,87580000;3,15980000;3,16980000
27/01/2025;136;A;SSP;0,00144600;0,00148200;4000,00000000;4100,00000000
27/01/2025;138;B;SDR;7,77100000;7,77170000;1,31120000;1,31120000
27/01/2025;139;A;MAD;0,59230000;0,59350000;9,98650000;10,00650000
27/01/2025;145;A;AED;1,61350000;1,61390000;3,67260000;3,67320000
27/01/2025;149;A;STN;0,24890000;0,25400000;23,33330000;23,81400000
27/01/2025;150;B;AUD;3,72430000;3,72520000;0,62840000;0,62850000
27/01/2025;155;A;BSD;5,92660000;5,92720000;1,00000000;1,00000000
27/01/2025;160;A;BMD;5,92660000;5,92720000;1,00000000;1,00000000
27/01/2025;165;A;CAD;4,11970000;4,12040000;1,43850000;1,43860000
27/01/2025;170;A;GYD;0,02816000;0,02851000;207,89000000;210,47000000
27/01/2025;173;A;NAD;0,31710000;0,31710000;18,68980000;18,69270000
27/01/2025;175;A;BBD;2,90510000;2,96640000;1,99810000;2,04010000
27/01/2025;180;A;BZD;2,93800000;2,96330000;2,00020000;2,01720000
27/01/2025;185;A;BND;4,40740000;4,41010000;1,34400000;1,34470000
27/01/2025;190;A;KYD;7,09770000;7,16280000;0,82750000;0,83500000
27/01/2025;195;A;SGD;4,40740000;4,41010000;1,34400000;1,34470000
27/01/2025;197;B;CLF;230,43210000;230,45550000;38,88100000;38,88100000
27/01/2025;200;B;FJD;2,52710000;2,60800000;0,42640000;0,44000000
27/01/2025;205;A;HKD;0,76100000;0,76110000;7,78780000;7,78800000
27/01/2025;210;A;TTD;0,86820000;0,87820000;6,74930000;6,82600000
27/01/2025;215;A;XCD;2,17890000;2,20340000;2,69000000;2,72000000
27/01/2025;220;A;USD;5,92660000;5,92720000;1,00000000;1,00000000
27/01/2025;230;A;JMD;0,03741000;0,03785000;156,61000000;158,41000000
27/01/2025;235;A;LRD;0,02934000;0,03055000;194,00000000;202,00000000
27/01/2025;245;B;NZD;3,36810000;3,37080000;0,56830000;0,56870000
27/01/2025;250;B;SBD;0,66380000;0,73500000;0,11200000;0,12400000
27/01/2025;255;A;SRD;0,16670000;0,17050000;34,76000000;35,54500000
27/01/2025;260;A;VND;0,00023610;0,00023650;25060,00000000;25100,00000000
27/01/2025;275;A;AMD;0,01467000;0,01493000;397,10000000;404,00000000
27/01/2025;295;A;CVE;0,05592000;0,05644000;105,01000000;105,99000000
27/01/2025;325;A;ANG;3,25640000;3,32150000;1,78450000;1,82000000
27/01/2025;328;A;AWG;3,22100000;3,32990000;1,78000000;1,84000000
27/01/2025;345;A;HUF;0,01522000;0,01522000;389,31000000;389,51000000
27/01/2025;363;A;CDF;0,00206500;0,00208700;2840,00000000;2870,00000000
27/01/2025;365;A;BIF;0,00197600;0,00203100;2919,00000000;3000,00000000
27/01/2025;368;A;KMF;0,01262000;0,01267000;467,80000000;469,80000000
27/01/2025;370;A;XAF;0,00944700;0,00948300;625,07000000;627,33000000
27/01/2025;372;A;XOF;0,00940700;0,00951400;623,00000000;630,00000000
27/01/2025;380;A;XPF;0,05184000;0,05231000;113,31000000;114,32000000
27/01/2025;390;A;DJF;0,03319000;0,03337000;177,60000000;178,55000000
27/01/2025;398;A;GNF;0,00068240;0,00068870;8606,00000000;8685,00000000
27/01/2025;406;A;MGA;0,00126200;0,00127300;4657,58000000;4695,68000000
27/01/2025;420;A;RWF;0,00421700;0,00430200;1377,70000000;1405,30000000
27/01/2025;425;A;CHF;6,57780000;6,58290000;0,90040000;0,90100000
27/01/2025;440;A;HTG;0,04515000;0,04555000;130,13650000;131,26210000
27/01/2025;450;A;PYG;0,00074960;0,00075040;7899,03000000;7906,81000000
27/01/2025;460;A;UAH;0,14090000;0,14130000;41,95000000;42,05000000
27/01/2025;470;A;JPY;0,03840000;0,03840000;154,34000000;154,35000000
27/01/2025;482;A;GEL;2,03660000;2,08410000;2,84400000;2,91000000
27/01/2025;490;A;ALL;0,06270000;0,06332000;93,61000000;94,52000000
27/01/2025;495;A;HNL;0,23240000;0,23300000;25,43850000;25,50000000
27/01/2025;500;A;SLL;0,00025870;0,00026130;22683,00000000;22908,00000000
27/01/2025;503;A;MDL;0,32040000;0,32210000;18,40000000;18,50000000
27/01/2025;506;A;RON;1,25050000;1,25120000;4,73730000;4,73950000
27/01/2025;510;A;BGN;3,18100000;3,18220000;1,86260000;1,86310000
27/01/2025;530;B;GIP;7,37570000;7,38230000;1,24450000;1,24550000
27/01/2025;535;A;EGP;0,11780000;0,11810000;50,20000000;50,30000000
27/01/2025;540;B;GBP;7,39110000;7,39480000;1,24710000;1,24760000
27/01/2025;545;B;FKP;7,37570000;7,38230000;1,24450000;1,24550000
27/01/2025;560;A;LBP;0,00006610;0,00006620;89500,00000000;89600,00000000
27/01/2025;570;B;SHP;7,41120000;7,41790000;1,25050000;1,25150000
27/01/2025;575;A;SYP;0,00045550;0,00045590;13000,00000000;13010,00000000
27/01/2025;585;A;SZL;0,31710000;0,31750000;18,66860000;18,69090000
27/01/2025;603;A;LSL;0,31710000;0,31750000;18,66860000;18,69090000
27/01/2025;608;A;TMT;1,69100000;1,69610000;3,49470000;3,50470000
27/01/2025;622;A;MZN;0,09186000;0,09371000;63,25000000;64,52000000
27/01/2025;625;A;ERN;0,39120000;0,39510000;15,00000000;15,15000000
27/01/2025;630;A;NGN;0,00382000;0,00382500;1549,48000000;1551,48000000
27/01/2025;635;A;AOA;0,00637100;0,00649900;912,00000000;930,24000000
27/01/2025;640;A;TWD;0,18010000;0,18030000;32,87600000;32,90100000
27/01/2025;642;A;TRY;0,16580000;0,16580000;35,73990000;35,74230000
27/01/2025;660;A;PEN;1,58310000;1,58500000;3,73950000;3,74360000
27/01/2025;665;A;BTN;0,06867000;0,06876000;86,20000000;86,30900000
27/01/2025;670;A;MRO;0,01651000;0,01665000;356,00000000;359,00000000
27/01/2025;671;A;MRU;0,14890000;0,14920000;39,72400000;39,80400000
27/01/2025;680;B;TOP;2,40440000;2,55280000;0,40570000;0,43070000
27/01/2025;685;A;MOP;0,73810000;0,73900000;8,02100000;8,02900000
27/01/2025;706;A;ARS;0,00564200;0,00564800;1049,50000000;1050,50000000
27/01/2025;715;A;CLP;0,00600200;0,00600500;987,12000000;987,48000000
27/01/2025;720;A;COP;0,00140000;0,00140100;4230,00000000;4233,50000000
27/01/2025;721;B;COU;0,52980000;0,52990000;0,08940000;0,08940000
27/01/2025;725;A;CUP;0,24690000;0,24700000;24,00000000;24,00000000
27/01/2025;730;A;DOP;0,09592000;0,09652000;61,41000000;61,79000000
27/01/2025;735;A;PHP;0,10150000;0,10160000;58,36400000;58,38400000
27/01/2025;741;A;MXN;0,28680000;0,28700000;20,64900000;20,66200000
27/01/2025;745;A;UYU;0,13690000;0,13710000;43,24000000;43,28000000
27/01/2025;755;B;BWP;0,42490000;0,42910000;0,07170000;0,07240000
27/01/2025;760;A;MWK;0,00338600;0,00345200;1717,02000000;1750,32000000
27/01/2025;766;A;ZMW;0,21240000;0,21280000;27,85460000;27,90460000
27/01/2025;770;A;GTQ;0,76570000;0,76780000;7,72000000;7,74000000
27/01/2025;775;A;MMK;0,00281400;0,00283100;2093,70000000;2106,30000000
27/01/2025;778;B;PGK;1,43360000;1,52270000;0,24190000;0,25690000
27/01/2025;780;A;LAK;0,00027090;0,00027380;21649,00000000;21879,00000000
27/01/2025;785;A;ZAR;0,31700000;0,31720000;18,68450000;18,69720000
27/01/2025;795;A;CNY;0,81720000;0,81750000;7,25070000;7,25200000
27/01/2025;796;A;CNH;0,81770000;0,81780000;7,24730000;7,24760000
27/01/2025;800;A;QAR;1,62540000;1,62600000;3,64530000;3,64630000
27/01/2025;805;A;OMR;15,38980000;15,39930000;0,38490000;0,38510000
27/01/2025;810;A;YER;0,02380000;0,02385000;248,48000000;248,98000000
27/01/2025;815;A;IRR;0,00014110;0,00014110;42000,00000000;42005,00000000
27/01/2025;820;A;SAR;1,58000000;1,58030000;3,75070000;3,75090000
27/01/2025;825;A;KHR;0,00147000;0,00147800;4011,00000000;4031,00000000
27/01/2025;828;A;MYR;1,35250000;1,35480000;4,37500000;4,38200000
27/01/2025;830;A;RUB;0,06066000;0,06067000;97,69550000;97,70450000
27/01/2025;831;A;BYN;1,80740000;1,81480000;3,26610000;3,27910000
27/01/2025;835;A;TJS;0,54100000;0,54580000;10,86000000;10,95390000
27/01/2025;840;A;MUR;0,12760000;0,12840000;46,15000000;46,45000000
27/01/2025;845;A;NPR;0,04290000;0,04290000;138,15000000;138,16000000
27/01/2025;850;A;SCR;0,38920000;0,40940000;14,47670000;15,22700000
27/01/2025;855;A;LKR;0,01985000;0,01986000;298,40000000;298,60000000
27/01/2025;860;A;INR;0,06862000;0,06867000;86,31000000;86,36500000
27/01/2025;865;A;IDR;0,00036640;0,00036660;16170,00000000;16175,00000000
27/01/2025;870;A;MVR;0,38240000;0,38440000;15,42000000;15,50000000
27/01/2025;875;A;PKR;0,02125000;0,02126000;278,80000000;278,90000000
27/01/2025;880;A;ILS;1,64270000;1,64520000;3,60280000;3,60780000
27/01/2025;892;A;KGS;0,06773000;0,06778000;87,45000000;87,50430000
27/01/2025;893;A;UZS;0,00045700;0,00045740;12958,27000000;12968,27000000
27/01/2025;905;A;BDT;0,04858000;0,04862000;121,90000000;122,00000000
27/01/2025;912;B;WST;2,04700000;2,17770000;0,34540000;0,36740000
27/01/2025;913;A;KZT;0,01147000;0,01149000;516,05000000;516,59000000
27/01/2025;915;A;MNT;0,00172000;0,00172300;3440,00000000;3446,00000000
27/01/2025;920;A;VUV;0,04818000;0,05110000;116,00000000;123,00000000
27/01/2025;930;A;KRW;0,00412700;0,00413000;1435,31000000;1436,15000000
27/01/2025;946;A;TZS;0,00230600;0,00235200;2520,00000000;2570,00000000
27/01/2025;950;A;KES;0,04577000;0,04595000;129,00000000;129,50000000
27/01/2025;955;A;UGX;0,00160400;0,00160900;3685,00000000;3695,00000000
27/01/2025;960;A;SOS;0,01031000;0,01044000;568,00000000;575,00000000
27/01/2025;975;A;PLN;1,47740000;1,47780000;4,01070000;4,01140000
27/01/2025;978;B;EUR;6,22170000;6,22360000;1,04980000;1,05000000
27/01/2025;998;A;XAU;522,16740000;522,22030000;0,01135000;0,01135000
